회사명,종목코드,시장구분,업종
하이브,352820,KOSPI,
키움증권,039490,KOSPI,
삼성E&A,028050,KOSPI,
대한항공,003490,KOSPI,
이수페타시스,007660,KOSPI,
한화,000880,KOSPI,
현대차2우B,005387,KOSPI,
산일전기,062040,KOSPI,
HD건설기계,267270,KOSPI,
한국타이어앤테크놀로지,161390,KOSPI,
한진칼,180640,KOSPI,
SK바이오팜,326030,KOSPI,
DB하이텍,000990,KOSPI,
LG씨엔에스,064400,KOSPI,
한화솔루션,009830,KOSPI,
GS,078930,KOSPI,
아모레퍼시픽,090430,KOSPI,
대덕전자,353200,KOSPI,
LG유플러스,032640,KOSPI,
유한양행,000100,KOSPI,
LG디스플레이,034220,KOSPI,
코웨이,021240,KOSPI,
두산로보틱스,454910,KOSPI,
두산밥캣,241560,KOSPI,
카카오페이,377300,KOSPI,
엘앤에프,066970,KOSPI,
한화엔진,082740,KOSPI,
현대차우,005385,KOSPI,
가온전선,000500,KOSPI,
NC,036570,KOSPI,
삼성카드,029780,KOSPI,
오리온,271560,KOSPI,
한미약품,128940,KOSPI,
맥쿼리인프라,088980,KOSPI,
BNK금융지주,138930,KOSPI,
OCI홀딩스,010060,KOSPI,
한전기술,052690,KOSPI,
두산퓨얼셀,336260,KOSPI,
CJ,001040,KOSPI,
현대제철,004020,KOSPI,
일진전기,103590,KOSPI,
JB금융지주,175330,KOSPI,
신세계,004170,KOSPI,
SKC,011790,KOSPI,
한화생명,088350,KOSPI,
포스코DX,022100,KOSPI,
한온시스템,018880,KOSPI,
롯데쇼핑,023530,KOSPI,
에코프로머티,450080,KOSPI,
KCC,002380,KOSPI,
LG생활건강,051900,KOSPI,
더존비즈온,012510,KOSPI,
영원무역,111770,KOSPI,
넷마블,251270,KOSPI,
한국가스공사,036460,KOSPI,
롯데케미칼,011170,KOSPI,
한화비전,489790,KOSPI,
금호석유화학,011780,KOSPI,
강원랜드,035250,KOSPI,
효성,004800,KOSPI,
CJ제일제당,097950,KOSPI,
서울보증보험,031210,KOSPI,
현대엘리베이터,017800,KOSPI,
SK바이오사이언스,302440,KOSPI,
한솔케미칼,014680,KOSPI,
현대해상,001450,KOSPI,
팬오션,028670,KOSPI,
F&F,383220,KOSPI,
iM금융지주,139130,KOSPI,
DL이앤씨,375500,KOSPI,
롯데에너지머티리얼즈,020150,KOSPI,
신영증권,001720,KOSPI,
이수스페셜티케미컬,457190,KOSPI,
에스엘,005850,KOSPI,
달바글로벌,483650,KOSPI,
영원무역홀딩스,009970,KOSPI,
에스원,012750,KOSPI,
DN오토모티브,007340,KOSPI,
롯데지주,004990,KOSPI,
대한조선,439260,KOSPI,
동서,026960,KOSPI,
HD현대마린엔진,071970,KOSPI,
GS건설,006360,KOSPI,
HL만도,204320,KOSPI,
코리안리,003690,KOSPI,
이마트,139480,KOSPI,
농심,004370,KOSPI,
풍산,103140,KOSPI,
한전KPS,051600,KOSPI,
BGF리테일,282330,KOSPI,
미래에셋증권2우B,00680K,KOSPI,
LS에코에너지,229640,KOSPI,
현대백화점,069960,KOSPI,
호텔신라,008770,KOSPI,
SK가스,018670,KOSPI,
GS리테일,007070,KOSPI,
두산우,000155,KOSPI,
세아베스틸지주,001430,KOSPI,
케이뱅크,279570,KOSPI,
제일기획,030000,KOSPI,
코리아써키트,007810,KOSPI,
한미사이언스,008930,KOSPI,
한국앤컴퍼니,000240,KOSPI,
코오롱인더,120110,KOSPI,
현대지에프홀딩스,005440,KOSPI,
현대위아,011210,KOSPI,
한국콜마,161890,KOSPI,
씨에스윈드,112610,KOSPI,
미스토홀딩스,081660,KOSPI,
한올바이오파마,009420,KOSPI,
HD현대에너지솔루션,322000,KOSPI,
코스맥스,192820,KOSPI,
CJ대한통운,000120,KOSPI,
미래에셋생명,085620,KOSPI,
HJ중공업,097230,KOSPI,
한국카본,017960,KOSPI,
아모레퍼시픽홀딩스,002790,KOSPI,
다우기술,023590,KOSPI,
LX인터내셔널,001120,KOSPI,
SK리츠,395400,KOSPI,
시프트업,462870,KOSPI,
STX엔진,077970,KOSPI,
효성티앤씨,298020,KOSPI,
SK아이이테크놀로지,361610,KOSPI,
SK네트웍스,001740,KOSPI,
코스모신소재,005070,KOSPI,
동원산업,006040,KOSPI,
오리온홀딩스,001800,KOSPI,
SNT다이내믹스,003570,KOSPI,
대신증권,003540,KOSPI,
녹십자,006280,KOSPI,
대웅제약,069620,KOSPI,
롯데관광개발,032350,KOSPI,
아시아나항공,020560,KOSPI,
SK이터닉스,475150,KOSPI,
오뚜기,007310,KOSPI,
금호타이어,073240,KOSPI,
IPARK현대산업개발,294870,KOSPI,
한화투자증권,003530,KOSPI,
교보증권,030610,KOSPI,
해성디에스,195870,KOSPI,
롯데정밀화학,004000,KOSPI,
HDC,012630,KOSPI,
파라다이스,034230,KOSPI,
케이씨텍,281820,KOSPI,
더블유게임즈,192080,KOSPI,
삼아알미늄,006110,KOSPI,
동양생명,082640,KOSPI,
LG화학우,051915,KOSPI,
NHN,181710,KOSPI,
KB발해인프라,415640,KOSPI,
후성,093370,KOSPI,
하이트진로,000080,KOSPI,
LG전자우,066575,KOSPI,
대웅,003090,KOSPI,
롯데렌탈,089860,KOSPI,
삼성화재우,000815,KOSPI,
유안타증권,003470,KOSPI,
삼성전기우,009155,KOSPI,
DL,000210,KOSPI,
SK오션플랜트,100090,KOSPI,
한일시멘트,300720,KOSPI,
롯데리츠,330590,KOSPI,
비에이치,090460,KOSPI,
종근당,185750,KOSPI,
태광산업,003240,KOSPI,
롯데웰푸드,280360,KOSPI,
대원전선,006340,KOSPI,
롯데칠성,005300,KOSPI,
ESR켄달스퀘어리츠,365550,KOSPI,
경동나비엔,009450,KOSPI,
OCI,456040,KOSPI,
자화전자,033240,KOSPI,
에스디바이오센서,137310,KOSPI,
영풍,000670,KOSPI,
현대홈쇼핑,057050,KOSPI,
HS효성첨단소재,298050,KOSPI,
한국금융지주우,071055,KOSPI,
솔루엠,248070,KOSPI,
쿠쿠홀딩스,192400,KOSPI,
GS피앤엘,499790,KOSPI,
파미셀,005690,KOSPI,
한화리츠,451800,KOSPI,
한화3우B,00088K,KOSPI,
SK디스커버리,006120,KOSPI,
세진중공업,075580,KOSPI,
SK증권,001510,KOSPI,
NICE평가정보,030190,KOSPI,
한화손해보험,000370,KOSPI,
SNT에너지,100840,KOSPI,
LX세미콘,108320,KOSPI,
아이에스동서,010780,KOSPI,
대한유화,006650,KOSPI,
지역난방공사,071320,KOSPI,
이노션,214320,KOSPI,
코오롱,002020,KOSPI,
삼화콘덴서,001820,KOSPI,
SNT홀딩스,036530,KOSPI,
디아이,003160,KOSPI,
한국단자,025540,KOSPI,
전진건설로봇,079900,KOSPI,
보령,003850,KOSPI,
SNT모티브,064960,KOSPI,
대한해운,005880,KOSPI,
CJ CGV,079160,KOSPI,
세방전지,004490,KOSPI,
녹십자홀딩스,005250,KOSPI,
SK케미칼,285130,KOSPI,
엠앤씨솔루션,484870,KOSPI,
한샘,009240,KOSPI,
PI첨단소재,178920,KOSPI,
한국쉘석유,002960,KOSPI,
광전자,017900,KOSPI,
GKL,114090,KOSPI,
명인제약,317450,KOSPI,
TKG휴켐스,069260,KOSPI,
KG모빌리티,003620,KOSPI,
애경케미칼,161000,KOSPI,
솔루스첨단소재,336370,KOSPI,
LX홀딩스,383800,KOSPI,
세아제강지주,003030,KOSPI,
LF,093050,KOSPI,
SGC에너지,005090,KOSPI,
빙그레,005180,KOSPI,
F&F홀딩스,007700,KOSPI,
롯데손해보험,000400,KOSPI,
대상,001680,KOSPI,
동원시스템즈,014820,KOSPI,
세아홀딩스,058650,KOSPI,
JW중외제약,001060,KOSPI,
KG스틸,016380,KOSPI,
일동제약,249420,KOSPI,
CJ4우(전환),00104K,KOSPI,
신한알파리츠,293940,KOSPI,
부국증권,001270,KOSPI,
티엠씨,217590,KOSPI,
금양,001570,KOSPI,
넥센타이어,002350,KOSPI,
카프로,006380,KOSPI,
현대차증권,001500,KOSPI,
E1,017940,KOSPI,
대덕,008060,KOSPI,
미원상사,002840,KOSPI,
동아쏘시오홀딩스,000640,KOSPI,
흥아해운,003280,KOSPI,
DI동일,001530,KOSPI,
현대그린푸드,453340,KOSPI,
하나투어,039130,KOSPI,
풍산홀딩스,005810,KOSPI,
고려제강,002240,KOSPI,
현대차3우B,005389,KOSPI,
동국제강,460860,KOSPI,
한화갤러리아,452260,KOSPI,
신풍제약,019170,KOSPI,
신성이엔지,011930,KOSPI,
미원에스씨,268280,KOSPI,
대신증권우,003545,KOSPI,
퍼스텍,010820,KOSPI,
한섬,020000,KOSPI,
코스모화학,005420,KOSPI,
명신산업,009900,KOSPI,
일진홀딩스,015860,KOSPI,
일진하이솔루스,271940,KOSPI,
한일홀딩스,003300,KOSPI,
율촌화학,008730,KOSPI,
맵스리얼티,094800,KOSPI,
바이오노트,377740,KOSPI,
태영건설,009410,KOSPI,
부광약품,003000,KOSPI,
쿠쿠홈시스,284740,KOSPI,
신세계인터내셔날,031430,KOSPI,
유니드,014830,KOSPI,
DB증권,016610,KOSPI,
유진투자증권,001200,KOSPI,
아세아,002030,KOSPI,
NICE,034310,KOSPI,
한전산업,130660,KOSPI,
케이카,381970,KOSPI,
NH투자증권우,005945,KOSPI,
삼성SDI우,006405,KOSPI,
삼성FN리츠,448730,KOSPI,
넥스틸,092790,KOSPI,
삼양홀딩스,000070,KOSPI,
삼천리,004690,KOSPI,
삼양사,145990,KOSPI,
BGF,027410,KOSPI,
프레스티지바이오파마,950210,KOSPI,
한솔테크닉스,004710,KOSPI,
삼양바이오팜,0120G0,KOSPI,
INVENI,015360,KOSPI,
두산2우B,000157,KOSPI,
코람코라이프인프라리츠,357120,KOSPI,
농심홀딩스,072710,KOSPI,
아모레퍼시픽우,090435,KOSPI,
세아제강,306200,KOSPI,
신대양제지,016590,KOSPI,
쏘카,403550,KOSPI,
신도리코,029530,KOSPI,
코람코더원리츠,417310,KOSPI,
풀무원,017810,KOSPI,
KCC글라스,344820,KOSPI,
우진,105840,KOSPI,
제주은행,006220,KOSPI,
덴티움,145720,KOSPI,
조광피혁,004700,KOSPI,
수산인더스트리,126720,KOSPI,
동아에스티,170900,KOSPI,
HL홀딩스,060980,KOSPI,
TCC스틸,002710,KOSPI,
삼영무역,002810,KOSPI,
제주항공,089590,KOSPI,
남해화학,025860,KOSPI,
삼립,005610,KOSPI,
DB,012030,KOSPI,
화신,010690,KOSPI,
아세아시멘트,183190,KOSPI,
드림텍,192650,KOSPI,
한세실업,105630,KOSPI,
이수화학,005950,KOSPI,
포스코스틸리온,058430,KOSPI,
동국홀딩스,001230,KOSPI,
엠씨넥스,097520,KOSPI,
케이씨,029460,KOSPI,
KPX홀딩스,092230,KOSPI,
한국토지신탁,034830,KOSPI,
SIMPAC,009160,KOSPI,
광동제약,009290,KOSPI,
현대코퍼레이션,011760,KOSPI,
넥센,005720,KOSPI,
대한제강,084010,KOSPI,
퍼시스,016800,KOSPI,
서연이화,200880,KOSPI,
에이블씨엔씨,078520,KOSPI,
트리니티항공,091810,KOSPI,
삼영,003720,KOSPI,
제이에스코퍼레이션,194370,KOSPI,
KG케미칼,001390,KOSPI,
TYM,002900,KOSPI,
한국철강,104700,KOSPI,
애경산업,018250,KOSPI,
대상홀딩스,084690,KOSPI,
천일고속,000650,KOSPI,
현대퓨처넷,126560,KOSPI,
KISCO홀딩스,001940,KOSPI,
스틱인베스트먼트,026890,KOSPI,
아세아제지,002310,KOSPI,
국도화학,007690,KOSPI,
삼성물산우B,02826K,KOSPI,
콜마홀딩스,024720,KOSPI,
DS단석,017860,KOSPI,
휴스틸,005010,KOSPI,
LX하우시스,108670,KOSPI,
유나이티드제약,033270,KOSPI,
진에어,272450,KOSPI,
롯데이노베이트,286940,KOSPI,
한양증권,001750,KOSPI,
서울가스,017390,KOSPI,
GS글로벌,001250,KOSPI,
엘브이엠씨홀딩스,900140,KOSPI,
한국자산신탁,123890,KOSPI,
한농화성,011500,KOSPI,
삼진제약,005500,KOSPI,
LS네트웍스,000680,KOSPI,
남양유업,003920,KOSPI,
대성산업,128820,KOSPI,
JW홀딩스,096760,KOSPI,
삼익THK,004380,KOSPI,
광주신세계,037710,KOSPI,
송원산업,004430,KOSPI,
이지스밸류플러스리츠,334890,KOSPI,
한진,002320,KOSPI,
영진약품,003520,KOSPI,
더본코리아,475560,KOSPI,
세방,004360,KOSPI,
경방,000050,KOSPI,
이리츠코크렙,088260,KOSPI,
사조대림,003960,KOSPI,
에이플러스에셋,244920,KOSPI,
BYC,001460,KOSPI,
일성아이에스,003120,KOSPI,
서흥,008490,KOSPI,
YG PLUS,037270,KOSPI,
KEC,092220,KOSPI,
대동,000490,KOSPI,
대원강업,000430,KOSPI,
미래에셋증권우,006805,KOSPI,
삼영전자,005680,KOSPI,
대신밸류리츠,0030R0,KOSPI,
미원화학,134380,KOSPI,
SBS,034120,KOSPI,
PKC,001340,KOSPI,
잇츠한불,226320,KOSPI,
KSS해운,044450,KOSPI,
지누스,013890,KOSPI,
흥국화재,000540,KOSPI,
선진,136490,KOSPI,
일신방직,003200,KOSPI,
코오롱글로벌,003070,KOSPI,
노루홀딩스,000320,KOSPI,
화승엔터프라이즈,241590,KOSPI,
아이마켓코리아,122900,KOSPI,
디아이씨,092200,KOSPI,
대한제당,001790,KOSPI,
KB스타리츠,432320,KOSPI,
한국공항,005430,KOSPI,
한미글로벌,053690,KOSPI,
디앤디플랫폼리츠,377190,KOSPI,
알루코,001780,KOSPI,
사조산업,007160,KOSPI,
제이알글로벌리츠,348950,KOSPI,
현대약품,004310,KOSPI,
다올투자증권,030210,KOSPI,
경인양행,012610,KOSPI,
무학,033920,KOSPI,
종근당홀딩스,001630,KOSPI,
현대비앤지스틸,004560,KOSPI,
SK디앤디,210980,KOSPI,
SJG세종,033530,KOSPI,
삼화전기,009470,KOSPI,
신한서부티엔디리츠,404990,KOSPI,
계양전기,012200,KOSPI,
에스엠벡셀,010580,KOSPI,
신세계 I&C,035510,KOSPI,
이월드,084680,KOSPI,
모토닉,009680,KOSPI,
CR홀딩스,000480,KOSPI,
성신양회,004980,KOSPI,
백산,035150,KOSPI,
KPX케미칼,025000,KOSPI,
S-Oil우,010955,KOSPI,
에어부산,298690,KOSPI,
대성에너지,117580,KOSPI,
LG생활건강우,051905,KOSPI,
대한제분,001130,KOSPI,
남선알미늄,008350,KOSPI,
LG우,003555,KOSPI,
이연제약,102460,KOSPI,
만호제강,001080,KOSPI,
SK우,03473K,KOSPI,
와이투솔루션,011690,KOSPI,
미창석유,003650,KOSPI,
AJ네트웍스,095570,KOSPI,
스카이라이프,053210,KOSPI,
대원제약,003220,KOSPI,
동아지질,028100,KOSPI,
교촌에프앤비,339770,KOSPI,
HS효성,487570,KOSPI,
SP삼화,000390,KOSPI,
동성케미컬,102260,KOSPI,
HDC랩스,039570,KOSPI,
한국화장품제조,003350,KOSPI,
환인제약,016580,KOSPI,
서연,007860,KOSPI,
대신증권2우B,003547,KOSPI,
계룡건설,013580,KOSPI,
하이트진로홀딩스,000140,KOSPI,
도화엔지니어링,002150,KOSPI,
방림,003610,KOSPI,
진양홀딩스,100250,KOSPI,
제일약품,271980,KOSPI,
강남제비스코,000860,KOSPI,
코스맥스비티아이,044820,KOSPI,
JW생명과학,234080,KOSPI,
해태제과식품,101530,KOSPI,
일양약품,007570,KOSPI,
경농,002100,KOSPI,
이구산업,025820,KOSPI,
CJ우,001045,KOSPI,
웅진,016880,KOSPI,
조일알미늄,018470,KOSPI,
하나제약,293480,KOSPI,
유화증권,003460,KOSPI,
대창단조,015230,KOSPI,
DH오토넥스,000300,KOSPI,
CJ제일제당 우,097955,KOSPI,
신세계푸드,031440,KOSPI,
일진다이아,081000,KOSPI,
동국씨엠,460850,KOSPI,
한국석유,004090,KOSPI,
금호석유화학우,011785,KOSPI,
삼일제약,000520,KOSPI,
NH올원리츠,400760,KOSPI,
한세예스24홀딩스,016450,KOSPI,
조선내화,462520,KOSPI,
화승인더,006060,KOSPI,
LG헬로비전,037560,KOSPI,
동화약품,000020,KOSPI,
SYTS,002170,KOSPI,
동부건설,005960,KOSPI,
한솔제지,213500,KOSPI,
한진중공업홀딩스,003480,KOSPI,
롯데하이마트,071840,KOSPI,
수산세보틱스,017550,KOSPI,
선도전기,007610,KOSPI,
노루페인트,090350,KOSPI,
진흥기업,002780,KOSPI,
대한화섬,003830,KOSPI,
KCTC,009070,KOSPI,
금호건설,002990,KOSPI,
토니모리,214420,KOSPI,
한국주철관,000970,KOSPI,
KBI동양철관,008970,KOSPI,
자이에스앤디,317400,KOSPI,
삼양패키징,272550,KOSPI,
한솔홀딩스,004150,KOSPI,
아모레퍼시픽홀딩스3우C,00279K,KOSPI,
삼성제약,001360,KOSPI,
디와이파워,210540,KOSPI,
진원생명과학,011000,KOSPI,
동양,001520,KOSPI,
효성화학,298000,KOSPI,
유니퀘스트,077500,KOSPI,
한신공영,004960,KOSPI,
유수홀딩스,000700,KOSPI,
화승코퍼레이션,013520,KOSPI,
신라교역,004970,KOSPI,
태경산업,015890,KOSPI,
사조동아원,008040,KOSPI,
텔코웨어,078000,KOSPI,
효성ITX,094280,KOSPI,
경보제약,214390,KOSPI,
동양고속,084670,KOSPI,
금강공업,014280,KOSPI,
무림P&P,009580,KOSPI,
대창,012800,KOSPI,
두올,016740,KOSPI,
제일파마홀딩스,002620,KOSPI,
한국제지,027970,KOSPI,
HDC현대EP,089470,KOSPI,
미래산업,025560,KOSPI,
미원홀딩스,107590,KOSPI,
모나용평,070960,KOSPI,
샘표,007540,KOSPI,
키다리스튜디오,020120,KOSPI,
두산퓨얼셀1우,33626K,KOSPI,
경동도시가스,267290,KOSPI,
디씨엠,024090,KOSPI,
현대리바트,079430,KOSPI,
신원,009270,KOSPI,
신흥,004080,KOSPI,
한국무브넥스,010100,KOSPI,
태림포장,011280,KOSPI,
경동인베스트,012320,KOSPI,
대성홀딩스,016710,KOSPI,
티에이치엔,019180,KOSPI,
차AI헬스케어,025620,KOSPI,
신영와코루,005800,KOSPI,
이지스레지던스리츠,350520,KOSPI,
세원정공,021820,KOSPI,
극동유화,014530,KOSPI,
한독,002390,KOSPI,
NPC,004250,KOSPI,
그린케미칼,083420,KOSPI,
한국화장품,123690,KOSPI,
HS화성,002460,KOSPI,
사조씨푸드,014710,KOSPI,
한일철강,002220,KOSPI,
삼익악기,002450,KOSPI,
페이퍼코리아,001020,KOSPI,
DKME,015590,KOSPI,
태경비케이,014580,KOSPI,
상상인증권,001290,KOSPI,
HS애드,035000,KOSPI,
현대코퍼레이션홀딩스,227840,KOSPI,
한신기계,011700,KOSPI,
인천도시가스,034590,KOSPI,
아주스틸,139990,KOSPI,
샘표식품,248170,KOSPI,
디와이,013570,KOSPI,
조선선재,120030,KOSPI,
티와이홀딩스,363280,KOSPI,
세이브존I&C,067830,KOSPI,
인지컨트롤스,023800,KOSPI,
벽산,007210,KOSPI,
STX,011810,KOSPI,
아시아나IDT,267850,KOSPI,
동방,004140,KOSPI,
대영포장,014160,KOSPI,
콘텐트리중앙,036420,KOSPI,
KTcs,058850,KOSPI,
동남합성,023450,KOSPI,
크라운제과,264900,KOSPI,
팜스코,036580,KOSPI,
대교,019680,KOSPI,
AK홀딩스,006840,KOSPI,
HL D&I,014790,KOSPI,
KC코트렐,119650,KOSPI,
황금에스티,032560,KOSPI,
GS우,078935,KOSPI,
휴니드,005870,KOSPI,
NI스틸,008260,KOSPI,
태양금속,004100,KOSPI,
한국수출포장,002200,KOSPI,
화천기계,010660,KOSPI,
아남전자,008700,KOSPI,
종근당바이오,063160,KOSPI,
웅진씽크빅,095720,KOSPI,
크라운해태홀딩스,005740,KOSPI,
일신석재,007110,KOSPI,
부국증권우,001275,KOSPI,
동일고무벨트,163560,KOSPI,
DL이앤씨2우(전환),37550L,KOSPI,
동성제약,002210,KOSPI,
KTis,058860,KOSPI,
신일전자,002700,KOSPI,
영보화학,014440,KOSPI,
삼성공조,006660,KOSPI,
일동홀딩스,000230,KOSPI,
태경케미컬,006890,KOSPI,
DRB동일,004840,KOSPI,
우신시스템,017370,KOSPI,
에이프로젠,007460,KOSPI,
HLB글로벌,003580,KOSPI,
삼원강재,023000,KOSPI,
동일산업,004890,KOSPI,
아이티센씨티에스,031820,KOSPI,
CS홀딩스,000590,KOSPI,
테이팩스,055490,KOSPI,
휴비스,079980,KOSPI,
SK이노베이션우,096775,KOSPI,
TP,007980,KOSPI,
엔케이,085310,KOSPI,
조흥,002600,KOSPI,
CJ씨푸드,011150,KOSPI,
국제약품,002720,KOSPI,
삼호개발,010960,KOSPI,
대림바스,005750,KOSPI,
한솔로지스틱스,009180,KOSPI,
NH프라임리츠,338100,KOSPI,
성창기업지주,000180,KOSPI,
동인기연,111380,KOSPI,
유한양행우,000105,KOSPI,
동방아그로,007590,KOSPI,
지엠비코리아,013870,KOSPI,
일성건설,013360,KOSPI,
삼부토건,001470,KOSPI,
대덕전자1우,35320K,KOSPI,
까뮤이앤씨,013700,KOSPI,
남광토건,001260,KOSPI,
비상교육,100220,KOSPI,
팜젠사이언스,004720,KOSPI,
사조오양,006090,KOSPI,
제일연마,001560,KOSPI,
주성코퍼레이션,109070,KOSPI,
DSR제강,069730,KOSPI,
삼일씨엔에스,004440,KOSPI,
화천기공,000850,KOSPI,
동원금속,018500,KOSPI,
하이스틸,071090,KOSPI,
한국특강,007280,KOSPI,
대현,016090,KOSPI,
삼성출판사,068290,KOSPI,
모나리자,012690,KOSPI,
한국내화,010040,KOSPI,
혜인,003010,KOSPI,
남양유업우,003925,KOSPI,
코오롱인더우,120115,KOSPI,
무림페이퍼,009200,KOSPI,
신송홀딩스,006880,KOSPI,
삼정펄프,009770,KOSPI,
진양산업,003780,KOSPI,
금호에이치티,214330,KOSPI,
아모레퍼시픽홀딩스우,002795,KOSPI,
DSR,155660,KOSPI,
성문전자,014910,KOSPI,
깨끗한나라,004540,KOSPI,
호전실업,111110,KOSPI,
서원,021050,KOSPI,
우성,006980,KOSPI,
화승알앤에이,378850,KOSPI,
인바이오젠,101140,KOSPI,
SG세계물산,004060,KOSPI,
씨케이솔루션,480370,KOSPI,
유유제약,000220,KOSPI,
조비,001550,KOSPI,
인터지스,129260,KOSPI,
유니온머티리얼,047400,KOSPI,
DYP,092780,KOSPI,
현대건설우,000725,KOSPI,
평화홀딩스,010770,KOSPI,
BYC우,001465,KOSPI,
서울식품,004410,KOSPI,
디와이덕양,024900,KOSPI,
인팩,023810,KOSPI,
미래에셋글로벌리츠,396690,KOSPI,
덕성,004830,KOSPI,
기신정기,092440,KOSPI,
한컴라이프케어,372910,KOSPI,
유엔젤,072130,KOSPI,
롯데칠성우,005305,KOSPI,
보락,002760,KOSPI,
부산산업,011390,KOSPI,
유니온,000910,KOSPI,
한화솔루션우,009835,KOSPI,
고려산업,002140,KOSPI,
써니전자,004770,KOSPI,
다스코,058730,KOSPI,
삼화왕관,004450,KOSPI,
케이비아이동국실업,001620,KOSPI,
오리엔트바이오,002630,KOSPI,
코리아써우,007815,KOSPI,
대구백화점,006370,KOSPI,
SJM,123700,KOSPI,
새론오토모티브,075180,KOSPI,
대양금속,009190,KOSPI,
유화증권우,003465,KOSPI,
유안타증권우,003475,KOSPI,
인스코비,006490,KOSPI,
SJM홀딩스,025530,KOSPI,
한국종합기술,023350,KOSPI,
상신브레이크,041650,KOSPI,
명문제약,017180,KOSPI,
씨아이테크,004920,KOSPI,
범양건영,002410,KOSPI,
미래에셋맵스리츠,357250,KOSPI,
조광페인트,004910,KOSPI,
평화산업,090080,KOSPI,
DL이앤씨우,37550K,KOSPI,
일진디스플,020760,KOSPI,
형지엘리트,093240,KOSPI,
SK케미칼우,28513K,KOSPI,
SK디스커버리우,006125,KOSPI,
유니켐,011330,KOSPI,
영화금속,012280,KOSPI,
마니커,027740,KOSPI,
아진전자부품,009320,KOSPI,
SB성보,003080,KOSPI,
문배철강,008420,KOSPI,
전방,000950,KOSPI,
금호전기,001210,KOSPI,
유성기업,002920,KOSPI,
대호에이엘,069460,KOSPI,
보해양조,000890,KOSPI,
갤럭시아에스엠,011420,KOSPI,
부국철강,026940,KOSPI,
티웨이홀딩스,004870,KOSPI,
에쓰씨엔지니어링,023960,KOSPI,
화인베스틸,133820,KOSPI,
부산주공,005030,KOSPI,
우진플라임,049800,KOSPI,
이엔플러스,074610,KOSPI,
금비,008870,KOSPI,
신한글로벌액티브리츠,481850,KOSPI,
인디에프,014990,KOSPI,
에이프로젠바이오로직스,003060,KOSPI,
경인전자,009140,KOSPI,
미래아이앤지,007120,KOSPI,
이화산업,000760,KOSPI,
TBH글로벌,084870,KOSPI,
세우글로벌,013000,KOSPI,
엑시큐어하이트론,019490,KOSPI,
신풍,002870,KOSPI,
영흥,012160,KOSPI,
SG글로벌,001380,KOSPI,
DL우,000215,KOSPI,
광명전기,017040,KOSPI,
SH에너지화학,002360,KOSPI,
진양화학,051630,KOSPI,
디와이에이,002880,KOSPI,
삼화전자,011230,KOSPI,
케이탑리츠,145270,KOSPI,
한솔홈데코,025750,KOSPI,
시디즈,134790,KOSPI,
씨티알모빌리티,308170,KOSPI,
온타이드,005320,KOSPI,
우성머티리얼스,011300,KOSPI,
대원화성,024890,KOSPI,
대원전선우,006345,KOSPI,
이건산업,008250,KOSPI,
